Quotation_ID,Date,Client,Project,Item,Unit,Quantity,Cement_Bags,Sand_CFT,Aggregate_CFT,Steel_Kg,Bricks_Nos,Water_Cost,Equipment_Cost,Labour_Cost,Electrical_Cost,Material_Cost,Transport,Safety,GST,Profit,Total
QTN-00042,2026-06-09,XYZ Infra,Project 10,Flooring,Nos,122,504,435,445,1953,2911,4708,18922,84204,11396,489471,12079.86,6039.93,111980.3,73409.31,807502.4
QTN-00043,2026-10-04,XYZ Infra,Project 49,Waterproofing,Nos,11,62,569,390,1755,4344,921,44943,5591,14570,287518,7052.44,3526.22,65376.12,42857.68,471434.46
QTN-00044,2026-04-27,Green Homes,Project 56,Waterproofing,Nos,47,525,398,864,3006,3286,3276,49872,30107,7449,626784,14284.24,7142.12,132414.9,86805.33,954858.59
QTN-00045,2026-10-06,ABC Builders,Project 57,Flooring,Nos,162,353,207,134,4377,5220,1744,27317,11319,16322,563269,12364.54,6182.27,114619.29,75139.31,826532.41
QTN-00046,2026-02-17,Green Homes,Project 57,Flooring,Nos,118,530,90,159,666,7565,1748,7089,80369,18763,376998,9664.38,4832.19,89588.8,58730.44,646034.81
QTN-00047,2026-08-25,SPPS Construction,Project 77,PCC,Nos,149,79,389,235,400,1991,708,10383,8928,14602,141506,3508.38,1754.19,32522.68,21320.43,234524.68
QTN-00048,2026-02-14,SPPS Construction,Project 40,Waterproofing,Nos,337,22,35,259,4983,3070,2813,1869,42540,16338,444878,10112.5,5056.25,93742.88,61453.66,675990.29
QTN-00049,2026-05-21,XYZ Infra,Project 56,RCC,Nos,78,227,210,231,3193,865,388,39744,46236,5236,393453,9693.38,4846.69,89857.63,58906.67,647973.37
QTN-00050,2026-02-15,SPPS Construction,Project 25,Brickwork,Nos,500,107,125,110,4368,2238,3718,17659,88450,19789,420572,10929.4,5464.7,101315.54,66417.96,730597.6
QTN-00051,2026-04-20,Green Homes,Project 69,RCC,Nos,89,209,593,398,3424,1159,3385,38483,13971,13810,458707,10499.42,5249.71,97329.62,63804.98,701854.73
QTN-00052,2026-06-27,ABC Builders,Project 17,Earthwork,Nos,405,455,22,574,4259,2813,3418,46018,73693,2866,620737,14866.28,7433.14,137810.42,90342.38,993766.22
QTN-00053,2026-10-16,Green Homes,Project 76,RCC,Nos,453,128,349,261,417,4809,849,20379,85456,16007,187436,6185.56,3092.78,57340.14,37589.65,413486.13
QTN-00054,2026-08-19,Green Homes,Project 62,Plastering,Nos,69,413,451,612,2439,1051,3811,35282,92227,8868,490514,12537.82,6268.91,116225.59,76192.33,838115.65
QTN-00055,2026-05-15,Green Homes,Project 19,Brickwork,Nos,433,102,620,605,1099,9477,1255,36226,18509,306,327596,7652.74,3826.37,70940.9,46505.7,511562.71
QTN-00056,2026-06-25,XYZ Infra,Project 39,Earthwork,Nos,422,335,655,465,717,3199,3279,44809,30817,13409,341596,8612.62,4306.31,79838.99,52338.89,575727.81
QTN-00057,2026-04-13,Skyline,Project 87,RCC,Nos,11,7,516,32,1109,3546,1054,28344,37302,5436,160867,4638.98,2319.49,43003.34,28191.08,310101.9
QTN-00058,2026-03-13,Skyline,Project 90,Brickwork,Nos,364,543,683,4,220,2562,1246,19637,18782,13532,337712,7793.26,3896.63,72243.52,47359.64,520956.05
QTN-00059,2026-12-14,Skyline,Project 37,Plastering,Nos,261,138,77,411,499,8874,823,27980,42038,4768,226820,6032.12,3016.06,55917.75,36657.19,403229.13
QTN-00060,2026-01-28,Green Homes,Project 54,PCC,Nos,286,251,724,330,4685,8621,787,11064,54104,7411,631600,14083.58,7041.79,130554.79,85585.92,941445.07
QTN-00061,2026-12-15,SPPS Construction,Project 48,Earthwork,Nos,373,244,692,248,2845,6008,2833,40215,62085,17809,459192,11586.02,5793.01,107402.41,70408.24,774490.68
QTN-00062,2026-09-02,ABC Builders,Project 9,RCC,Nos,55,582,634,318,4068,5995,4004,28845,70511,1881,707844,16181.62,8090.81,150003.62,98335.7,1081692.75
QTN-00063,2026-10-17,Green Homes,Project 48,Painting,Nos,53,58,312,896,2840,9717,2588,1852,72233,14789,451904,10815.56,5407.78,100260.24,65726.16,722987.74
QTN-00064,2026-11-15,SPPS Construction,Project 90,Waterproofing,Nos,429,472,676,37,4453,3826,818,35880,28809,1896,636321,14058.12,7029.06,130318.77,85431.2,939743.15
QTN-00065,2026-06-11,Green Homes,Project 61,Flooring,Nos,388,124,398,19,3494,8688,328,40637,27549,14818,421802,10096.12,5048.06,93591.03,61354.12,674895.33
QTN-00066,2026-05-20,XYZ Infra,Project 52,Earthwork,Nos,39,555,356,467,2953,9767,2968,19164,42775,5578,636849,14087.32,7043.66,130589.46,85608.64,941695.08
QTN-00067,2026-06-15,Skyline,Project 53,RCC,Nos,341,18,592,61,77,1267,3414,6081,81355,16729,82105,3725.4,1862.7,34534.46,22639.26,249031.81
QTN-00068,2026-10-04,XYZ Infra,Project 83,Plastering,Nos,54,368,230,185,3422,6173,1642,49133,80925,1224,513876,12903.16,6451.58,119612.29,78412.5,862537.54
QTN-00069,2026-04-20,Skyline,Project 32,Flooring,Nos,206,144,19,494,4158,9493,1913,4712,63507,10705,515307,11884.62,5942.31,110170.43,72222.84,794451.19
QTN-00070,2026-05-24,ABC Builders,Project 80,Earthwork,Nos,55,414,255,286,4801,2039,1655,16804,89671,3957,619062,14589.88,7294.94,135248.19,88662.7,975289.71
QTN-00071,2026-09-07,Green Homes,Project 82,Brickwork,Nos,58,501,562,146,4927,5905,1602,11212,28328,18365,706297,15284.04,7642.02,141683.05,92881.11,1021692.22
QTN-00072,2026-01-09,Skyline,Project 64,Brickwork,Nos,138,148,291,266,4648,8533,3987,35377,27314,6824,542651,12243.32,6121.66,113495.58,74402.66,818429.21
QTN-00073,2026-08-21,SPPS Construction,Project 64,RCC,Nos,107,140,785,776,902,709,2780,35845,64861,3416,295022,7982.88,3991.44,74001.3,48511.96,533631.58
QTN-00074,2026-01-10,Green Homes,Project 55,Plastering,Nos,103,432,750,241,4545,9577,1987,36851,8198,12155,702798,15200.04,7600.02,140904.37,92370.64,1016077.07
QTN-00075,2026-12-14,Green Homes,Project 73,PCC,Nos,14,481,754,870,510,5292,1268,3256,45491,11963,463024,10474.68,5237.34,97100.28,63654.63,700200.93
QTN-00076,2026-11-04,Skyline,Project 49,Painting,Nos,387,454,743,894,2497,4011,4902,38100,22088,11812,595285,13345.7,6672.85,123714.64,81101.82,892120.01
QTN-00077,2026-06-05,Green Homes,Project 41,Flooring,Nos,248,437,312,641,1301,6758,326,35713,48558,5791,450495,10811.14,5405.57,100219.27,65699.3,722692.28
QTN-00078,2026-04-27,Skyline,Project 62,Brickwork,Nos,138,277,104,526,2084,2616,2650,42833,32744,12810,375968,9287.1,4643.55,86091.42,56437.71,620814.77
QTN-00079,2026-11-24,Skyline,Project 59,Plastering,Nos,308,593,188,39,1857,376,4653,9466,30035,8660,433506,9633.34,4816.67,89301.06,58541.81,643959.88
QTN-00080,2026-09-02,SPPS Construction,Project 2,Plastering,Nos,492,160,386,691,2420,6354,3824,20953,81336,10553,421956,10695.96,5347.98,99151.55,64999.35,714992.84
QTN-00081,2026-08-20,Green Homes,Project 12,Waterproofing,Nos,388,581,54,712,2381,9589,3178,33594,51899,628,609675,13915.92,6957.96,129000.58,84567.05,930237.5
QTN-00082,2026-03-10,XYZ Infra,Project 13,Waterproofing,Nos,101,344,746,711,4751,3738,3274,12416,66266,10118,689303,15562.06,7781.03,144260.3,94570.64,1040277.02
QTN-00083,2026-10-15,Skyline,Project 6,Waterproofing,Nos,141,413,734,538,2550,3850,1928,37390,52485,16303,533108,12785.72,6392.86,118523.62,77698.82,854687.02
QTN-00084,2026-04-08,Green Homes,Project 1,Earthwork,Nos,245,159,75,879,1775,8794,3333,15352,48485,6967,389840,9212.88,4606.44,85403.4,55986.67,615853.39
QTN-00085,2026-06-17,SPPS Construction,Project 2,Painting,Nos,472,63,713,286,4103,9684,4944,9873,90741,4191,509851,12293.12,6146.56,113957.22,74705.29,821758.19
QTN-00086,2026-08-10,SPPS Construction,Project 61,Plastering,Nos,347,356,224,844,4360,6075,2090,39978,54108,288,657090,15029.28,7514.64,139321.43,91332.93,1004662.28
QTN-00087,2026-12-16,Green Homes,Project 1,Painting,Nos,340,433,220,563,3134,7938,3634,1024,97483,5605,582198,13726.2,6863.1,127241.87,83414.12,917555.29
QTN-00088,2026-04-26,SPPS Construction,Project 86,Earthwork,Nos,340,529,4,599,3912,9919,3827,884,31265,1602,686829,14411.6,7205.8,133595.53,87579.29,963372.23
QTN-00089,2026-05-16,XYZ Infra,Project 87,Brickwork,Nos,203,565,589,490,4430,3995,2067,44797,38100,971,726447,16206.3,8103.15,150232.4,98485.69,1083342.54
QTN-00090,2026-01-02,XYZ Infra,Project 64,Plastering,Nos,376,81,636,864,145,4671,828,18942,50434,18035,240081,6549.84,3274.92,60717.02,39803.38,437837.15
QTN-00091,2026-05-15,XYZ Infra,Project 28,Waterproofing,Nos,377,382,157,639,3144,5588,4124,16626,8586,2882,545768,11477.24,5738.62,106394.01,69747.19,767219.06
QTN-00092,2026-08-19,Skyline,Project 88,Flooring,Nos,388,383,459,127,2744,6320,189,10928,77575,12810,480859,11643.44,5821.72,107934.69,70757.18,778329.03
QTN-00093,2026-06-24,ABC Builders,Project 67,Waterproofing,Nos,301,163,694,509,2721,542,115,46487,61765,12299,398476,10380.54,5190.27,96227.61,63082.54,693907.96
QTN-00094,2026-06-14,ABC Builders,Project 87,Painting,Nos,296,4,552,583,719,8214,3849,20936,4381,12214,239406,5538.74,2769.37,51344.12,33658.92,370248.15
QTN-00095,2026-09-22,SPPS Construction,Project 12,Waterproofing,Nos,89,60,331,48,4280,6389,2167,34701,80675,9322,433519,11164.34,5582.17,103493.43,67845.69,746302.64
QTN-00096,2026-05-11,XYZ Infra,Project 46,Waterproofing,Nos,165,164,275,188,1421,3244,2837,17437,14576,9762,253724,5909.98,2954.99,54785.51,35914.95,395064.43
QTN-00097,2026-07-03,Skyline,Project 70,Flooring,Nos,44,59,216,392,683,8017,1908,31110,64570,17789,208139,6432.16,3216.08,59626.12,39088.24,429970.6
QTN-00098,2026-10-28,Green Homes,Project 33,RCC,Nos,498,400,50,610,709,306,2117,45415,11158,12631,314940,7682.88,3841.44,71220.3,46688.86,513577.48
QTN-00099,2026-03-05,ABC Builders,Project 63,Flooring,Nos,484,261,384,290,4398,2481,659,21779,4136,2474,533327,11234.32,5617.16,104142.15,68270.96,750980.59
QTN-00100,2026-07-26,Skyline,Project 52,Flooring,Nos,158,39,660,571,1637,7360,1661,43087,75704,17758,322186,9174.7,4587.35,85049.47,55754.65,613301.17
QTN-00101,2026-10-12,XYZ Infra,Project 38,Plastering,Nos,209,135,221,367,2625,5443,4152,5185,77347,16468,367041,9320.82,4660.41,86404,56642.62,623068.85
QTN-00102,2026-05-13,Skyline,Project 24,Painting,Nos,399,155,347,852,2474,2960,3255,45038,40687,401,412235,9967.22,4983.61,92396.13,60570.8,666278.76
QTN-00103,2026-03-22,ABC Builders,Project 81,PCC,Nos,268,397,376,779,1027,7756,172,6220,56330,12644,441455,10332.98,5166.49,95786.72,62793.52,690728.71
QTN-00104,2026-08-21,ABC Builders,Project 22,Waterproofing,Nos,186,212,782,506,790,8022,1535,31308,6370,7750,343641,7781.38,3890.69,72133.39,47287.45,520161.91
QTN-00105,2026-02-01,Green Homes,Project 5,Earthwork,Nos,131,452,4,497,1483,3554,359,15523,31549,2919,403376,9067.34,4533.67,84054.24,55102.23,606124.48
QTN-00106,2026-11-05,Green Homes,Project 61,Brickwork,Nos,170,299,711,832,1414,3973,4681,26852,13177,12895,433785,9734.18,4867.09,90235.85,59154.61,650700.73
QTN-00107,2026-08-02,ABC Builders,Project 62,Flooring,Nos,418,41,492,387,180,2647,266,14877,78147,7350,139192,4791.32,2395.66,44415.54,29116.85,320285.37
QTN-00108,2026-01-05,Green Homes,Project 37,RCC,Nos,409,439,386,855,2555,8618,3364,47929,7475,3750,594963,13082.34,6541.17,121273.29,79501.38,874515.18
QTN-00109,2026-09-15,XYZ Infra,Project 42,RCC,Nos,94,158,654,563,4809,7745,4835,47544,11548,3670,618450,13624.24,6812.12,126296.7,82794.51,910739.57
QTN-00110,2026-06-21,XYZ Infra,Project 31,RCC,Nos,310,458,563,821,146,7922,1933,45895,88681,15453,425919,11518.96,5759.48,106780.76,70000.72,770007.92
QTN-00111,2026-03-22,Green Homes,Project 3,Brickwork,Nos,255,76,756,449,3452,276,995,7716,22033,8247,410663,8973.18,4486.59,83181.38,54530.01,599830.16
QTN-00112,2026-11-05,Green Homes,Project 60,Painting,Nos,381,214,453,334,4447,2513,3728,12890,83541,2477,529977,12577.7,6288.85,116595.28,76434.68,840781.51
QTN-00113,2026-08-13,Skyline,Project 21,PCC,Nos,110,62,628,538,2621,1623,4754,39440,43812,15516,357013,9115.62,4557.81,84501.8,55395.62,609351.85
QTN-00114,2026-03-06,Green Homes,Project 50,Plastering,Nos,492,570,657,774,3447,2946,3087,40610,75700,1333,687120,16095.26,8047.63,149203.06,97810.9,1075919.85
QTN-00115,2026-01-20,Green Homes,Project 9,Waterproofing,Nos,155,83,57,744,1254,4901,2503,36408,98011,1363,266951,8054.66,4027.33,74666.7,48948.17,538429.86
QTN-00116,2026-04-13,ABC Builders,Project 66,Plastering,Nos,22,513,496,661,2564,3244,4083,15321,72700,1679,572185,13237.7,6618.85,122713.48,80445.5,884900.53
QTN-00117,2026-10-12,Green Homes,Project 13,PCC,Nos,102,547,796,703,2156,6860,1736,27167,77908,16543,612506,14682.48,7341.24,136106.59,89225.43,981479.74
QTN-00118,2026-11-02,XYZ Infra,Project 42,Waterproofing,Nos,304,49,458,215,4600,5584,2019,1433,18163,5307,476181,10021.68,5010.84,92900.97,60901.75,669919.24
QTN-00119,2026-07-07,Green Homes,Project 75,Earthwork,Nos,374,85,82,709,1231,5765,3011,15645,34644,3169,271346,6496.08,3248.04,60218.66,39476.68,434243.46
QTN-00120,2026-02-19,XYZ Infra,Project 72,Painting,Nos,426,407,675,727,3547,7375,176,19099,55742,5106,649591,14590.76,7295.38,135256.35,88668.05,975348.53
QTN-00121,2026-03-24,ABC Builders,Project 98,Flooring,Nos,439,334,210,775,3220,1190,3810,21192,36069,8135,514930,11606.52,5803.26,107592.44,70532.82,775861.04
QTN-00122,2026-10-26,XYZ Infra,Project 43,Earthwork,Nos,195,561,88,103,4895,941,2982,7985,16407,2980,649485,13537.14,6768.57,125489.29,82265.2,904917.2
QTN-00123,2026-06-13,ABC Builders,Project 19,Painting,Nos,268,223,209,643,4814,2247,3186,40658,44975,9287,576442,13427.24,6713.62,124470.51,81597.34,897570.71
QTN-00124,2026-11-11,ABC Builders,Project 79,Waterproofing,Nos,254,390,524,509,3782,3153,2529,18107,15089,13165,589903,12725.28,6362.64,117963.35,77331.53,850646.79
QTN-00125,2026-12-26,XYZ Infra,Project 95,Waterproofing,Nos,119,571,564,593,4453,8428,3378,15485,5115,16695,778007,16306.04,8153.02,151156.99,99091.81,1090009.86
QTN-00126,2026-02-07,XYZ Infra,Project 75,Earthwork,Nos,432,131,323,38,539,6914,3149,37489,36958,15681,188236,5567.28,2783.64,51608.69,33832.36,372155.97
QTN-00127,2026-05-02,XYZ Infra,Project 47,Brickwork,Nos,113,177,130,55,4162,5352,3832,21893,14122,4508,455448,9919.42,4959.71,91953.02,60280.32,663083.47
QTN-00128,2026-05-21,XYZ Infra,Project 29,PCC,Nos,221,225,227,535,1176,6524,2471,39721,51748,2516,326473,8409.16,4204.58,77952.91,51102.47,562127.12
QTN-00129,2026-10-25,Skyline,Project 17,Plastering,Nos,151,428,446,399,24,8715,1505,8626,12559,17293,349185,7753.26,3876.63,71872.72,47116.56,518282.17
QTN-00130,2026-09-06,SPPS Construction,Project 21,Waterproofing,Nos,120,356,770,872,732,5836,3713,2763,93780,10473,431741,10775.14,5387.57,99885.55,65480.53,720285.78
QTN-00131,2026-01-18,SPPS Construction,Project 25,Earthwork,Nos,70,470,21,358,1346,4404,426,10974,71446,9194,392748,9687.24,4843.62,89800.71,58869.36,647562.93
QTN-00132,2026-06-24,XYZ Infra,Project 75,Earthwork,Nos,266,577,149,92,422,3891,1047,27382,7415,9941,346435,7823.46,3911.73,72523.47,47543.17,522974.83
QTN-00133,2026-11-04,Skyline,Project 66,Waterproofing,Nos,477,222,60,489,1811,1028,1738,22157,97979,463,309167,8595.32,4297.66,79678.62,52233.76,574571.36
QTN-00134,2026-10-14,ABC Builders,Project 11,Brickwork,Nos,269,240,747,353,1611,4349,3537,34576,79887,15238,369274,9979.5,4989.75,92509.96,60645.42,667099.64
QTN-00135,2026-08-10,Green Homes,Project 8,RCC,Nos,104,310,532,46,108,4277,2527,26567,89019,1250,232423,6985.18,3492.59,64752.62,42448.94,466938.33
QTN-00136,2026-08-24,XYZ Infra,Project 44,Waterproofing,Nos,187,435,636,879,1454,2038,3164,13832,86108,4513,480628,11701.62,5850.81,108474.02,71110.74,782218.19
QTN-00137,2026-12-18,ABC Builders,Project 75,Brickwork,Nos,303,199,494,132,3420,233,3694,46872,82374,7222,406968,10868.72,5434.36,100753.03,66049.21,726541.33
QTN-00138,2026-07-17,ABC Builders,Project 78,Brickwork,Nos,217,542,461,105,292,1492,4063,2478,22954,17187,331279,7477.96,3738.98,69320.69,45443.56,499879.19
QTN-00139,2026-05-11,SPPS Construction,Project 48,Painting,Nos,21,524,31,708,999,4933,2933,25711,85083,1867,440562,11064.46,5532.23,102567.54,67238.72,739625.96
QTN-00140,2026-01-25,Skyline,Project 51,Flooring,Nos,497,152,704,552,1529,1687,774,24817,62807,9603,319905,8342.64,4171.32,77336.27,50698.22,557680.46
QTN-00141,2026-09-20,XYZ Infra,Project 66,RCC,Nos,484,11,651,849,1475,804,3510,20043,23426,11110,279477,6681.12,3340.56,61933.98,40601.17,446612.83
QTN-00142,2026-04-23,XYZ Infra,Project 95,Earthwork,Nos,172,591,573,599,442,1772,1107,24588,32427,13834,432103,10059.04,5029.52,93247.3,61128.79,672416.65
QTN-00143,2026-03-07,ABC Builders,Project 38,Earthwork,Nos,116,126,627,863,2472,4756,3810,1952,40904,4368,437678,9698.04,4849.02,89900.83,58934.99,648284.88
QTN-00144,2026-09-04,XYZ Infra,Project 69,Brickwork,Nos,241,298,613,305,2326,1864,1304,12272,78750,10002,410406,10228.6,5114.3,94819.12,62159.2,683751.22
QTN-00145,2026-02-07,SPPS Construction,Project 25,Flooring,Nos,12,407,675,530,3773,5657,995,42646,76694,17109,629976,15328.5,7664.25,142095.2,93151.29,1024664.24
QTN-00146,2026-04-15,XYZ Infra,Project 75,Plastering,Nos,139,131,157,135,2706,7115,809,10926,95636,7698,348389,9252.98,4626.49,85775.12,56230.36,618533.95
QTN-00147,2026-05-09,Skyline,Project 53,Earthwork,Nos,306,257,418,303,4344,1666,3678,29751,24337,16952,528256,11985.92,5992.96,111109.48,72838.44,801222.79
QTN-00148,2026-08-27,Skyline,Project 92,Flooring,Nos,96,503,242,290,1115,3885,3509,22941,22099,8989,398724,9055.06,4527.53,83940.41,55027.6,605303.6
QTN-00149,2026-09-21,ABC Builders,Project 40,Flooring,Nos,29,370,259,229,2687,5569,3542,49969,58888,5142,464319,11566.36,5783.18,107220.16,70288.77,773176.47
QTN-00150,2026-06-20,XYZ Infra,Project 18,Earthwork,Nos,129,474,762,734,3011,5551,2091,11395,41626,13361,634664,14020.92,7010.46,129973.93,85205.13,937256.44
QTN-00151,2026-07-12,XYZ Infra,Project 88,PCC,Nos,200,344,72,144,4087,5157,1363,19544,63347,18752,526984,12572.54,6286.27,116547.45,76403.33,840436.58
QTN-00152,2026-11-06,ABC Builders,Project 56,Waterproofing,Nos,283,54,294,408,2844,9730,4182,8058,62236,11261,392102,9473.14,4736.57,87816.01,57568.27,633250.99
QTN-00153,2026-01-10,XYZ Infra,Project 12,Earthwork,Nos,240,78,238,784,4252,1858,2232,43166,34669,1283,484216,11266.68,5633.34,104442.12,68467.61,753143.76
QTN-00154,2026-11-02,ABC Builders,Project 26,RCC,Nos,395,425,409,353,339,5375,365,21559,18382,5624,335120,7613.7,3806.85,70579,46268.45,508953
QTN-00155,2026-10-03,Green Homes,Project 28,Painting,Nos,379,158,47,877,3118,1887,4029,17302,75819,13357,433075,10791.06,5395.53,100033.13,65577.27,721349.99
